date,latitude,longitude,sea_ice_concentration,iceberg_latitude,iceberg_longitude,iceberg_speed_kmh,iceberg_direction
2026-01-01,-70,20,35,-71,25,2.5,SE
2026-01-02,-70,20,42,-70.8,25.8,2.7,SE
2026-01-03,-70,20,48,-70.6,26.6,2.8,SE
2026-01-04,-70,20,55,-70.4,27.4,3.0,SE
2026-01-05,-70,20,62,-70.2,28.2,3.1,SE
2026-01-06,-70,20,68,-70.0,29.0,3.2,SE
2026-01-07,-70,20,74,-69.8,29.8,3.3,SE
2026-01-08,-70,20,80,-69.6,30.6,3.4,SE
2026-01-09,-70,20,84,-69.4,31.4,3.5,SE
2026-01-10,-70,20,88,-69.2,32.2,3.6,SE
